gene	geneName	avg_exp
A1BG	A1BG	7.02852932944555
A2M	A2M	210.27499902275
A2ML1	A2ML1	0.829692520145519
A3GALT2	A3GALT2	0.468606734705204
A4GALT	A4GALT	0.0893999155682978
AAAS	AAAS	102.348885558287
AACS	AACS	7.29823104538019
AADAC	AADAC	0.0424152262570317
AADACL2	AADACL2	0
AADACL3	AADACL3	0.00887509297001067
AADACL4	AADACL4	0.0222322847559139
AADAT	AADAT	0.598627800150663
AAED1	AAED1	8.19684660596218
AAGAB	AAGAB	63.6258813982462
AAK1	AAK1	154.215908040807
AAMDC	AAMDC	11.4929047139135
AAMP	AAMP	108.649089114374
AANAT	AANAT	2.73289915940929
AARD	AARD	0.0978622491711463
AARS2	AARS2	13.9710581153508
AARSD1	AARSD1	41.3421013641512
AASDHPPT	AASDHPPT	28.500363124168
AASS	AASS	7.38192673340118
AATF	AATF	78.5600309781833
AATK	AATK	1.96516183692201
ABCA12	ABCA12	1.29674362074504
ABCA13	ABCA13	0.916932682665037
ABCA2	ABCA2	77.3284410139505
ABCA4	ABCA4	0.474579239029241
ABCB10	ABCB10	11.6129960493864
ABCB4	ABCB4	23.496006050391
ABCB6	ABCB6	4.85451573027982
ABCB7	ABCB7	102.469106645407
ABCB8	ABCB8	12.086966781388
ABCB9	ABCB9	1.13207781934896
ABCC1	ABCC1	89.5958023942215
ABCC10	ABCC10	35.285306654543
ABCC11	ABCC11	0.184748661520577
ABCC12	ABCC12	0.186912083735372
ABCC2	ABCC2	8.34934744511071
ABCC3	ABCC3	18.5901914464654
ABCC4	ABCC4	7.99913410001976
ABCC6	ABCC6	11.3577033500314
ABCC8	ABCC8	0.630334268069832
ABCC9	ABCC9	0.272508384790735
ABCD1	ABCD1	16.0217693890681
ABCD2	ABCD2	7.15986520675321
ABCD3	ABCD3	71.6815838602381
ABCD4	ABCD4	52.5195182940033
ABCE1	ABCE1	88.3421017224851
ABCF1	ABCF1	160.23687592732
ABCF2	ABCF2	38.4080143533013
ABCF3	ABCF3	85.8727896919518
ABCG1	ABCG1	13.4757081327374
ABCG4	ABCG4	0
ABCG5	ABCG5	0.139047446901618
ABCG8	ABCG8	0.450185772208881
ABHD1	ABHD1	3.58664911248158
ABHD10	ABHD10	43.6149354350956
ABHD11	ABHD11	8.97203963887806
ABHD12	ABHD12	72.3508153894505
ABHD12B	ABHD12B	7.22886323423001
ABHD14A	ABHD14A	4.80793543025093
ABHD14A-ACY1	ABHD14A-ACY1	2.54617819875543
ABHD14B	ABHD14B	3.23626703392854
ABHD15	ABHD15	2.32305115698842
ABHD16A	ABHD16A	38.6286508045906
ABHD16B	ABHD16B	0
ABHD17B	ABHD17B	5.54656874712591
ABHD17C	ABHD17C	0.913755085441389
ABHD3	ABHD3	23.1410721007167
ABHD4	ABHD4	18.9680497092664
ABHD5	ABHD5	37.6544737020222
ABI1	ABI1	116.35285768207
ABI2	ABI2	21.4773694660906
ABI3	ABI3	29.9208087685945
ABI3BP	ABI3BP	6.30794946203671
ABL1	ABL1	10.6212462525641
ABL2	ABL2	13.1244429561608
ABLIM1	ABLIM1	175.872925924789
ABLIM2	ABLIM2	1.77965276129315
ABLIM3	ABLIM3	8.22145525089234
ABR	ABR	131.49815783919
ABRA	ABRA	0.549812373068522
ABT1	ABT1	5.31229802435084
ABTB1	ABTB1	58.2562195083886
ABTB2	ABTB2	0.405340679421776
AC002553.1	AC002553.1	0
AC003043.1	AC003043.1	0
AC003102.1	AC003102.1	0.085687518124115
AC004466.1	AC004466.1	0.074271778959504
AC004528.1	AC004528.1	0.15230308412304
AC005358.1	AC005358.1	0
AC005544.1	AC005544.1	0
